 Total Nb of available Diagnostics: ndiagt=   226
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTVTEND|100 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND|100 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND|100 |       |SMR     MR|psu/day         |Tendency of Salinity
   102 |MoistCor|100 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc |100 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc |100 |       |SMR     MR|psu/s           |Salinity forcing tendency
   105 |AB_gT   |100 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   |100 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   107 |gTinAB  |100 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  |100 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   |100 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   |100 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |AB_gW   |100 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   112 |ADVr_TH |100 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   113 |ADVx_TH |100 |   114 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   114 |ADVy_TH |100 |   113 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   115 |DFrE_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   116 |DFxE_TH |100 |   117 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   117 |DFyE_TH |100 |   116 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   118 |DFrI_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   119 |SM_x_TH |100 |   120 |UM      MR|degC            |Pot.Temp.   1rst Order Moment Sx
   120 |SM_y_TH |100 |   119 |VM      MR|degC            |Pot.Temp.   1rst Order Moment Sy
   121 |SM_z_TH |100 |       |SM      MR|degC            |Pot.Temp.   1rst Order Moment Sz
   122 |SMxx_TH |100 |   123 |UM      MR|degC            |Pot.Temp.   2nd Order Moment Sxx
   123 |SMyy_TH |100 |   122 |VM      MR|degC            |Pot.Temp.   2nd Order Moment Syy
   124 |SMzz_TH |100 |       |SM      MR|degC            |Pot.Temp.   2nd Order Moment Szz
   125 |SMxy_TH |100 |       |SM      MR|degC            |Pot.Temp.   2nd Order Moment Sxy
   126 |SMxz_TH |100 |   127 |UM      MR|degC            |Pot.Temp.   2nd Order Moment Sxz
   127 |SMyz_TH |100 |   126 |VM      MR|degC            |Pot.Temp.   2nd Order Moment Syz
   128 |SM_v_TH |100 |       |SM P    MR|(degC)^2        |Pot.Temp.   sub-grid variance
   129 |ADVr_SLT|100 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   130 |ADVx_SLT|100 |   131 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   131 |ADVy_SLT|100 |   130 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   132 |DFrE_SLT|100 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   133 |DFxE_SLT|100 |   134 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   134 |DFyE_SLT|100 |   133 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   135 |DFrI_SLT|100 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   136 |SALTFILL|100 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   137 |SM_x_SLT|100 |   138 |UM      MR|psu             |Salinity    1rst Order Moment Sx
   138 |SM_y_SLT|100 |   137 |VM      MR|psu             |Salinity    1rst Order Moment Sy
   139 |SM_z_SLT|100 |       |SM      MR|psu             |Salinity    1rst Order Moment Sz
   140 |SMxx_SLT|100 |   141 |UM      MR|psu             |Salinity    2nd Order Moment Sxx
   141 |SMyy_SLT|100 |   140 |VM      MR|psu             |Salinity    2nd Order Moment Syy
   142 |SMzz_SLT|100 |       |SM      MR|psu             |Salinity    2nd Order Moment Szz
   143 |SMxy_SLT|100 |       |SM      MR|psu             |Salinity    2nd Order Moment Sxy
   144 |SMxz_SLT|100 |   145 |UM      MR|psu             |Salinity    2nd Order Moment Sxz
   145 |SMyz_SLT|100 |   144 |VM      MR|psu             |Salinity    2nd Order Moment Syz
   146 |SM_v_SLT|100 |       |SM P    MR|(psu)^2         |Salinity    sub-grid variance
   147 |VISCAHZ |100 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   148 |VISCA4Z |100 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   149 |VISCAHD |100 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   150 |VISCA4D |100 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   151 |VISCAHW |100 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   152 |VISCA4W |100 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   153 |VAHZMAX |100 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   154 |VA4ZMAX |100 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   155 |VAHDMAX |100 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   156 |VA4DMAX |100 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   157 |VAHZMIN |100 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   158 |VA4ZMIN |100 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   159 |VAHDMIN |100 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   160 |VA4DMIN |100 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   161 |VAHZLTH |100 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   162 |VA4ZLTH |100 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   163 |VAHDLTH |100 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   164 |VA4DLTH |100 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   165 |VAHZLTHD|100 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   166 |VA4ZLTHD|100 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   167 |VAHDLTHD|100 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   168 |VA4DLTHD|100 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   169 |VAHZSMAG|100 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   170 |VA4ZSMAG|100 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   171 |VAHDSMAG|100 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   172 |VA4DSMAG|100 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   173 |momKE   |100 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   174 |momHDiv |100 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   175 |momVort3|100 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   176 |Strain  |100 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   177 |Tension |100 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   178 |UBotDrag|100 |   179 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   179 |VBotDrag|100 |   178 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   180 |USidDrag|100 |   181 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   181 |VSidDrag|100 |   180 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   182 |Um_Diss |100 |   183 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   183 |Vm_Diss |100 |   182 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   184 |Um_Advec|100 |   185 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   185 |Vm_Advec|100 |   184 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   186 |Um_Cori |100 |   187 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   187 |Vm_Cori |100 |   186 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   188 |Um_dPHdx|100 |   189 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   189 |Vm_dPHdy|100 |   188 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   190 |Um_Ext  |100 |   191 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   191 |Vm_Ext  |100 |   190 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   192 |Um_AdvZ3|100 |   193 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   193 |Vm_AdvZ3|100 |   192 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   194 |Um_AdvRe|100 |   195 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   195 |Vm_AdvRe|100 |   194 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   196 |Wm_Diss |100 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   197 |Wm_Advec|100 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   198 |WSidDrag|100 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   199 |ADVx_Um |100 |   200 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |ADVy_Um |100 |   199 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   201 |ADVrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   202 |ADVx_Vm |100 |   203 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   203 |ADVy_Vm |100 |   202 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   204 |ADVrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   205 |VISCx_Um|100 |   206 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   206 |VISCy_Um|100 |   205 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   207 |VISrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   208 |VISrI_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   209 |VISCx_Vm|100 |   210 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   210 |VISCy_Vm|100 |   209 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   211 |VISrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   212 |VISrI_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   213 |TRAC01  |100 |       |SMR     MR|g/m^3           |dye1 concentration
   214 |UTRAC01 |100 |   215 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye1
   215 |VTRAC01 |100 |   214 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye1
   216 |WTRAC01 |100 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye1
   217 |ForcTr01|100 |       |SMR     MR|g/m^3/s         |dye1 forcing tendency
   218 |AB_gTr01|100 |       |SMR     MR|g/m^3/s         |dye1 tendency from Adams-Bashforth
   219 |ADVrTr01|100 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye1
   220 |ADVxTr01|100 |   221 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye1
   221 |ADVyTr01|100 |   220 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye1
   222 |DFrETr01|100 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye1 (Explicit part)
   223 |DFxETr01|100 |   224 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye1
   224 |DFyETr01|100 |   223 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye1
   225 |DFrITr01|100 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye1 (Implicit part)
   226 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
